6010	11346
6103	11345
6167	11343
6172	11340
6191	11339
6248	11336
6258	11334
6258	11334
6270	11330
6273	11329
6278	11328
6278	11328
6278	11328
6285	11327
6322	11326
6325	11323
6325	11323
6325	11323
6325	11323
6325	11323
6351	11321
6361	11319
6361	11319
6366	11318
6411	11317
6426	11312
6440	11310
6458	11306
6467	11303
6477	11301
6477	11301
6487	11299
6492	11296
6509	11295
6521	11291
6524	11290
6524	11290
6526	11286
6531	11285
6544	11282
6544	11282
6544	11282
6553	11279
6558	11276
6565	11275
6568	11274
6573	11271
6573	11271
6573	11271
6590	11270
6596	11266
6596	11266
6605	11263
6611	11257
6635	11255
6647	11245
6651	11243
6651	11243
6655	11241
6665	11239
6666	11232
6670	11230
6677	11229
6677	11229
6678	11228
6678	11228
6689	11227
6691	11219
6694	11218
6694	11218
6694	11218
6694	11218
6702	11216
6706	11214
6706	11214
6706	11214
6706	11214
6738	11208
6738	11208
6742	11198
6743	11197
6743	11197
6743	11197
6743	11197
6747	11193
6748	11192
6751	11191
6760	11186
6760	11186
6774	11184
6784	11176
6784	11176
6804	11168
6804	11168
6804	11168
6816	11158
6820	11154
6826	11150
6830	11146
6830	11146
6834	11144
6836	11140
6844	11136
6844	11136
6847	11135
6850	11134
6850	11134
6856	11132
6860	11126
6862	11124
6866	11122
6866	11122
6868	11120
6876	11118
6878	11116
6886	11114
6886	11114
6889	11109
6890	11104
6890	11104
6890	11104
6900	11102
6901	11099
6902	11098
6903	11095
6903	11095
6904	11092
6909	11091
6911	11089
6920	11088
6921	11085
6922	11082
6931	11081
6932	11080
6932	11080
6941	11073
6941	11073
6943	11069
6947	11067
6951	11065
6953	11063
6955	11061
6957	11059
6962	11058
6969	11055
6973	11051
6977	11049
6983	11041
6985	11039
6985	11039
6985	11039
6993	11037
6995	11035
7007	11027
7011	11023
7011	11023
7011	11023
7011	11023
7011	11023
7023	11019
7037	11009
7038	10996
7041	10995
7047	10993
7049	10991
7049	10991
7051	10989
7051	10989
7051	10989
7051	10989
7051	10989
7053	10987
7053	10987
7063	10985
7064	10978
7069	10977
7069	10977
7075	10973
7083	10965
7083	10965
7084	10964
7089	10959
7089	10959
7089	10959
7094	10958
